id,address,city,state,zip
1999,2149 Old Thompson Bridge Road,Gainesville,GA,30501
2000,200 Varick Street,New York,NY,10014
2001,4550 La Jolla Village Drive,San Diego,CA,92122
2002,2000 York Road,Oak Brook,IL,60521
2003,1020 Research Parkway,Meriden,CT,06450
2004,47 Bluebird Hill Drive,Orion,MI,48359
2005,701 North Post Oak Road,Houston,TX,77024
2006,1437 Central Avenue,Memphis,TN,38104
2007,300 Duffy Avenue,Hicksville,NY,11801
2008,16210 Old Denver Road,Monument,CO,80132
2009,38719-38729 10th Street East,Palmdale,CA,93550
2010,1011-1071 Market Street,San Diego,CA,92101
2011,15502 Old Galveston Rd.,Houston,TX,77598
2012,3 East 69th Street,New York,NY,10021
2013,601 Passaic Avenue,West Caldwell,NJ,07006
2014,5130 East Ponce de Leon Avenue,Stone Mountain,GA,30083
2015,272 West Bay Avenue,Norfolk,VA,23503
2016,8-192 West Gartner Road,Naperville,IL,60540
2017,94-849 Lumiaina Street,Waipahu,HI,96797
2018,7701 Southern Drive,Springfield,VA,22150
2019,60 Wall Street,New York,NY,10005
2020,121 W. Phillips Blvd.,Pomona,CA,91766
2021,337 Lafayette Street,New York,NY,10012
2022,4901-5011 North McColl Road,Mcallen,TX,78504
2023,621 Memorial Drive,Red Bank,TN,37415
2024,5450 Timber Creek Place Drive,Houston,TX,77084
2025,605 Anita Street,Chula Vista,CA,91911
2026,449 South Broadway,Los Angeles,CA,90013
2027,2651-2675 Irvine Avenue,Costa Mesa,CA,92627
2028,11501 Biscayne Blvd.,North Miami,FL,33181
2029,800 Southpark Boulevard,Colonial Heights,VA,23834
2030,3803 Venture Drive,Duluth,GA,30096
2031,12861 West Street,Garden Grove,CA,92640
2032,825-829 Hartford Turnpike Route 85,Waterford,CT,06785
2033,1075 Seven Lakes Drive,West End,NC,27376
2034,406 1/2 Sunrise Avenue,Roseville,CA,95661
2035,1000 Antietam Creek Drive,Fayetteville,NC,28303
2036,18546 Roscoe Boulevard,Northridge,CA,91324
2037,1705 North Dixie Avenue,Elizabethtown,KY,42701
2038,9900 West Innovation Drive,Wauwatosa,WI,53226
2039,Three Davol Square,Providence,RI,02903
2040,3251 Stanford Ranch Road,Rocklin,CA,95765
2041,5600 Avenida Encinas,Carlsbad,CA,92008
2042,3225 S. Nellis Boulevard,Las Vegas,NV,89121
2043,2312-2372 East Stop Eleven Road,Indianapolis,IN,46227
2044,1241 & 1409 Frederick Boulevard,Portsmouth,VA,23707
2045,29 Prince Street,New York,NY,10012
2046,430 West 30th Street,National City,CA,91950
2047,240 Crossways Park West,Woodbury,NY,11797
2048,7672-7746 Edinger Avenue,Huntington Beach,CA,92647
2049,6700-7080 Southwest Nyberg Street,Tualatin,OR,97062
2050,49 Blanca Lane,Watsonville,CA,95076
2051,116 Henwood Place,Bronx,NY,10453
2052,26200 Hollywood Court,Santa Clarita,CA,91355
2053,600 East Broad Street,Richmond,VA,23219
2054,1613 Gorman Street,Raleigh,NC,27606
2055,18100-18500 Wedge Parkway,Reno,NV,89511
2056,2301 North Broadway Street and 800 North Davidson Street,Greensburg,IN,47240
2057,10908 West Fairview Avenue,Boise,ID,83713
2058,7474 Corporate Boulevard,Baton Rouge,LA,70809
2059,2001 North Elston Avenue,Chicago,IL,60614
2060,400 Timothy Road,Athens,GA,30606
2061,1604 Monroe Ave SW,Birmingham,AL,35211
2062,Warrenville Road,Middlesex,NJ,08846
2063,500 Holiday Plaza Drive,Matteson,IL,60443
2064,1665 Oak Tree Road,Edison,NJ,08820
2065,6 Lee Boulevard,Malvern,PA,19355
2066,3801 W. Gandy Boulevard,Tampa,FL,33611
2067,3179 West Temple Avenue,Pomona,CA,91768
2068,3200 Pennsylvania Avenue SE,Washington,DC,20020
2069,3900 Foothill Boulevard,La Crescenta,CA,91214
2070,700 Hickory Drive,Huntsville,TX,77340
2071,9150 and 9155 South Dadeland Boulevard,Miami,FL,33156
2072,161 Court Street,Brooklyn,NY,11201
2073,118 Britain Street,Santee,SC,29142
2074,1134 and 1138 East Park Avenue,Port Angeles,WA,98362
2075,16 West Wasson Road,Amboy,IL,61310
2076,7110 Forest Avenue,Richmond,VA,23226
2077,3134 North Clark Street,Chicago,IL,60657
2078,"300, 302, 312 & 314 South State Street",Ann Arbor,MI,48104
2079,25 South Grady Way,Renton,WA,98055
2080,946 Orleans Road,Charleston,SC,29407
2081,19560 Amaranth Drive,Germantown,MD,20874
2082,1805 West State of Franklin Road,Johnson City,TN,37604
2083,18350 Northwest 7th Avenue,Miami Gardens,FL,33169
2084,1280 North Main Street,Manteca,CA,95336
2085,263 Skillman Street,Brooklyn,NY,11205
2086,5474 - 5500 St. Barnabas Road,Oxon Hill,MD,20745
2087,57 Littlefield Street,Avon,MA,02322
2088,720 Monroe Street,Hoboken,NJ,07030
2089,112 Charlton Street,New York,NY,10014
2090,6264-6310 Stockton Boulevard,Sacramento,CA,95824
2091,924 25th Street NW,Washington,DC,20037
2092,1030 South Main Street,Kernersville,NC,27284
2093,902 Dixieland Road,Harlingen,TX,78552
2094,6639 Forest Hill Avenue,Gloucester,VA,23061
2095,3041 Sunrise Boulevard,Rancho Cordova,CA,95742
2096,9785 Maroon Circle,Englewood,CO,80112
2097,1510 Nob Lane,Pontiac,MI,48340
2098,13760 North 93rd Avenue,Peoria,AZ,85381
2099,902 Columbia Avenue,Riverside,CA,92507
2100,11317-11375 Big Bend Road,Riverview,FL,33569
2101,9105 West Sam Houston Parkway North,Houston,TX,77064
2102,10240 Westminster Blvd,Garden Grove,CA,92843
2103,11847 Spears Road,Houston,TX,77067
2104,2200 First Avenue South,Seattle,WA,98134
2105,300 Jackson Plaza,Ann Arbor,MI,48103
2106,9700 West 51st Place,Arvada,CO,80002
2107,5624 14th Street West,Bradenton,FL,34207
2108,645-655 Rossville Avenue,Staten Island,NY,10309
2109,12280 Lake Underhill Road,Orlando,FL,32825
2110,120 Camaron Street,San Antonio,TX,78205
2111,20880 Stone Oak Parkway,San Antonio,TX,78258
2112,3405 South 176 St,Seattle,WA,98188
2113,997-998 Kennedy Boulevard,Orlando,FL,32907
2114,2058 South Independence Boulevard,Virginia Beach,VA,23453
2115,13643 Southwest Electric Street,Beaverton,OR,97005
2116,1440-1456 Boston Post Road,Larchmont,NY,10538
2117,2408 N. Philadelphia Ave. (Coastal Highway),Ocean City,MD,21842
2118,405 Silverside Road,Wilmington,DE,19809
2119,352 University Avenue,Palo Alto,CA,94301
2120,1936 Farm to Market 2722,New Braunfels,TX,78132
2121,18440  Hatteras Street,Tarzana,CA,91356
2122,2405 Shadelands Drive,Walnut Creek,CA,94598
2123,1000 West Washington Boulevard,Chicago,IL,60607
2124,5150 West Eugie Avenue,Glendale,AZ,85304
2125,10 The Promenade,Edgewater,NJ,07020
2126,"44 Broad Street, Northwest",Atlanta,GA,30303
2127,4265-4273 North Interstate Highway 35,Lacy-Lakeview,TX,76705
2128,5905-6005 Trail Avenue NE,Keizer,OR,97303
2129,4571 Lower River Road,Grants Pass,OR,97526
2130,"1149, 1175 and 1191 University Drive",Burlington,NC,27215
2131,3110 Knights Road,Bensalem,PA,19020
2132,1301 Washington Avenue,Golden,CO,80401
2133,7106-7120 Broadway,Merrillville,IN,46410
2134,103 Gedney Street,Nyack,NY,10960
2135,50 West 72nd Street,New York,NY,10023
2136,401 and 415 E. Rolling Oaks Drive,Thousand Oaks,CA,91361
2137,100 Route 59,Ramapo,NY,10901
2138,7550 & 7676 South Westmoreland Road,Dallas,TX,75237
2139,9850 Whitehurst Drive,Dallas,TX,75243
2140,2901 Crowne Ridge Drive,Birmingham,AL,35243
2141,600 Winter Street,Waltham,MA,02154
2142,7762 Beach Boulevard,Buena Park,CA,90620
2143,550 International Parkway,Lake Mary,FL,32746
2144,2757 Shell Beach Road,Pismo Beach,CA,93449
2145,7810-7930 Norwalk Boulevard and 11125-11233 Washington Boulevard,Santa Fe Springs,CA,90606
2146,18707 Studebaker Road,Cerritos,CA,90701
2147,3159 Route 9 South,Rio Grande,NJ,08242
2148,3572 Iroquois Road,Caledonia,NY,14423
2149,7916 Harris Hill Lane,Charlotte,NC,28269
2150,17 Battery Place,New York,NY,10004
2151,36-58 Dahill Road,Brooklyn,NY,11218
2152,139 Fifth Avenue,New York,NY,10010
2153,1152-1200 North Buckner Boulevard,Dallas,TX,75218
2154,466- 482 West Ray Road,Chandler,AZ,85225
2155,6405 East Pacific Coast Highway,Long Beach,CA,90803
2156,8409 Dorchester Road,North Charleston,SC,29420
2157,422 Mystic Avenue,Somerville,MA,02143
2158,88 - 210 Highlands Square Drive,Hendersonville,NC,28792
2159,101 East Lake Mead Parkway,Henderson,NV,89015
2160,7013 Brandemere Lane,Winston-Salem,NC,27106
2161,1203 US Highway 190,Covington,LA,70433
2162,60-70 Broadway,San Francisco,CA,94111
2163,120 State Road 100,Keystone Heights,FL,32656
2164,600 Greenville Boulevard Southeast,Greenville,NC,27858
2165,3322 Hudson Avenue,Union City,NJ,07087
2166,20240 and 20244 Reed Lane,Bend,OR,97702
2167,1800 North Mason Road,Katy,TX,77449
2168,4585 Electronics Place,Los Angeles,CA,90039
2169,2099 E. Florida Avenue,Hemet,CA,92544
2170,2110-2160 Farnon Court,Colorado Springs,CO,80906
2171,8864 United Lane,Athens,OH,45701
2172,1875-1895 West Commercial Boulevard,Ft. Lauderdale,FL,33309
2173,1601-1605 Southeast Road,"Newington, West Hartford",CT,06111
2174,313 1/2 Worth Avenue,Palm Beach,FL,33480
2175,1830 Park Lane South,Jupiter,FL,33458
2176,129-189 Mitchells Chance Road,Edgewater,MD,21037
2177,23634-23882 Hesperian Blvd. and 969-975 Winton Avenue,Hayward,CA,94545
2178,601 Louis Henna Boulevard,Round Rock,TX,78664
2179,519 Bloomfield Avenue,Caldwell,NJ,07006
2180,7801 Abercorn Street,Savannah,GA,31406
2181,Headquarters Drive & Governor Ritchie Hwy,Millersville & Severna Park,MD,
2182,175 Addison Road,Windsor,CT,06095
2183,5070-5118 Jonestown Road,Harrisburg,PA,17112
2184,600 East Broad Street,Richmond,VA,23219
2185,200 South Beachview Drive,Jekyll Island,GA,31527
2186,1148 East Oglethorpe Highway,Hinesville,GA,31313
2187,7101 South Bridge Drive,Sergeant Bluff,IA,51054
2188,4301 North MacArthur Boulevard,Irving,TX,75038
2189,2515 12th Avenue Northeast,Hickory,NC,28601
2190,2 Primrose Lane,Brunswick,ME,04011
2191,840 North Broadway,Everett,WA,98201
2192,3626 Colonial Court,Fort Myers,FL,33913
2193,"205, 215, 225 & 235 North Street",New Britain,CT,06051
2194,12190 Inwood Road,Dallas,TX,75244
2195,9270 East Bay Harbor Drive,Bay Harbor Islands,FL,33154
2196,6226 S. Pacific Coast Hwy,Redondo Beach,CA,90277
2197,1480 East Main Street,Wytheville,VA,24382
2198,5770-5780 Uplander Way,Culver City,CA,90230
2199,26100 Gading Road,Hayward,CA,94544
2200,2801 23rd Avenue Southwest,Fargo,ND,58103
2201,1200 Mallard Creek Church Road,Charlotte,NC,28262
2202,625 Main Street,Reading,MA,08167
2203,888 Bestgate Road,Annapolis,MD,21401
2204,NWC Route 59 & Stearns Road,Bartlett,IL,60103
2205,2165 Matthews Avenue,Bronx,NY,10462
2206,506 N. Miller Valley Road,Prescott,AZ,86301
2207,4079 Executive Parkway,Westerville,OH,43081
2208,6001 Westline Drive,Houston,TX,77036
2209,8815 Dyer Street,El Paso,TX,79904
2210,West Side of Stevens Street between Washington Avenue & Douglas Street,Roseburg,OR,97470
2211,3780 - 3788 Fabian Way,Palo Alto,CA,94303
2212,11130 Lomas Blvd.,Albuquerque,NM,87112
2213,2200 Gambell Street,Anchorage,AK,99503
2214,222 High Street,Newton,NJ,07860
2215,401 Market Street / 101 North Independence Mall,Philadelphia,PA,19106
2216,143 Sound Beach Ave,Old Greenwich,CT,06870
2217,917 West Dakin Street,Chicago,IL,60613
2218,2785 Lee Road,Lithia Springs,GA,30122
2219,6627-6709 Century Avenue,Middleton,WI,53562
2220,5310-5378 Rosecrans Ave.; 14351 & 14401 Hindry Ave,Hawthorne,CA,90250
2221,2566 Goliad Road,San Antonio,TX,78233
2222,500 West Park Lane,Hampton,VA,23666
2223,20273 South State Road 7,Boca Raton,FL,33498
2224,2455 Leechburg Road,New Kensington,PA,15068
2225,100 West Prospect Street,Combined Locks,WI,54113
2226,125-131 Kings Highway North,Westport,CT,06880
2227,1771 NW Maynard Road and 111 James Jackson Avenue,Cary,NC,27513
2228,2121 Marsh Lane,Carrollton,TX,75006
2229,1840 North Clybourn Avenue,Chicago,IL,60614
2230,2350 Green Mountain Drive,Branson,MO,65616
2231,57 Thompson Street,New York,NY,10012
2232,5601 N. Lovers Lane Rd,Milwaukee,WI,53225
2233,1850 Southwest Fountainview Boulevard,Port St. Lucie,FL,34986
2234,8439 West Sunset Boulevard,West Hollywood,CA,90069
2235,128-146 Wayne Place Southeast & 166-168 Mississippi Avenue Southeast,Washington,DC,20032
2236,6000 Palmetto Place,Fort Mill,SC,29708
2237,6820 West Ann Road,Las Vegas,NV,89130
2238,161 Ballantyne Road,Syracuse,NY,13205
2239,2205 Hollywood Avenue,Shreveport,LA,71108
2240,22-26 Northeast Drive,Derry Township,PA,17033
2241,1011 FM 1489 Road,Brookshire,TX,77423
2242,6781-6845 East Highway 36,Avon,IN,46123
2243,110 James Drive East,Saint Rose,LA,70087
2244,12155 North Oracle Road,Oro Valley,AZ,85737
2245,3021 North 39th Street,Phoenix,AZ,85018
2246,100-228 RHL Boulevard,South Charleston,WV,25309
2247,604 Locust Street,Des Moines,IA,50309
2248,3303 North Midkiff Road,Midland,TX,79705
2249,1803 Woodland Park Drive,Layton,UT,84041
2250,2248-2272 Mt. Zion Road,Jonesboro,GA,30260
2251,24040 Groesbeck Highway,Warren,MI,48089
2252,8816 Old Greensboro Road,Tuscaloosa,AL,35405
2253,11 Madison Avenue,New York,NY,10010
2254,639 South Canal Street,Natchez,MS,39120
2255,647 Route 18 and 130 Summerhill Road,East Brunswick,NJ,08816
2256,300 Clubhouse Lane,Hunt Valley,MD,21031
2257,2607 East Rome Road,Chillicothe,IL,61523
2258,13134 Dairy Ashford,Sugar Land,TX,77478
2259,2112 E. 4th Street,Santa Ana,CA,92705
2260,"1805 North Tifton Avenue, 1401 North Tifton Avenue",Tifton,GA,31794
2261,731 North Saint Andrews Place,Los Angeles,CA,90038
2262,"Northpoint Center, 1929 NE Pine Island Road",Cape Coral,FL,33909
2263,9950 Kleckley Street,Houston,TX,77075
2264,6701-6715 Electronic Drive,Springfield,VA,22151
2265,6209-6215 (JFK) Boulevard East,West New York,NJ,07093
2266,1301 Meadow Creek Drive,Irving,TX,75038
2267,2561 Fassitt Road,North Charleston,SC,29406
2268,920-1070 North Mountain Avenue,Ontario,CA,91762
2269,1460 Bethlehem Place,North Wales,PA,19454
2270,320 North Clark Dr,El Paso,TX,79905
2271,5000 Southeast 183rd Avenue Road,Ocklawaha,FL,32179
2272,3435 Webb Chapel Extension,Dallas,TX,75220
2273,"33, 35-43 and 47 Bow Street",Portsmouth,NH,03801
2274,247 West 35th Street,New York,NY,10001
2275,314 Livingston Avenue,Mamaroneck,NY,10543
2276,1723 E. Florida,Springfield,MO,65803
2277,620-696 Blossom Hill Road,San Jose,CA,95123
2278,1001 and 1007 Memorial Road,Houghton,MI,49931
2279,10105-10463 Southern Boulevard,Royal Palm Beach,FL,33411
2280,4304 Austin Bluffs Parkway,Colorado Springs,CO,80918
2281,10550 S. Cicero Avenue,Oak Lawn,IL,60453
2282,4500 South State Street,Indianapolis,IN,46227
2283,11457 Dennis Road,Dallas,TX,75229
2284,1322 Space Park Drive,Nassau Bay,TX,77032
2285,5391-5497 Moreno Drive,Montclair,CA,91423
2286,14511 Golden Garden Parkway,Chester,VA,23836
2287,1402-1404 Fannidella Drive,Carrollton,TX,75006
2288,630 Victory Boulevard,Staten Island,NY,10301
2289,1 South Dearborn Street,Chicago,IL,60603
2290,1000 Village Greenway,Cary,NC,27511
2291,1455 Washington Boulevard,Stamford,CT,06902
2292,3717 Las Vegas Boulevard South,Las Vegas,NV,89109
2293,3140 Pleasant Avenue South,Minneapolis,MN,55408
2294,700 Central Expressway South,Allen,TX,75013
2295,56579-56619 Van Dyke Avenue and 7568-7764 26 Mile Road,Shelby Township,MI,48316
2296,1 New Hampshire Avenue,Portsmouth,NH,03801
2297,5 South 16th Avenue,Mount Vernon,NY,10550
2298,"200, 210 and 220 Athens Way",Nashville,TN,37228
2299,2430 Cromwell Circle,Austin,TX,78741
2300,17800 Castleton Street,City Of Industry,CA,91784
2301,1880 Whittier Avenue,Costa Mesa,CA,92627
2302,1150 Chase Street,Athens,GA,30601
2303,2710 South Nelson Street,Arlington,VA,22206
2304,5440 Downing Street,Alexandria,LA,71303
2305,8410 W. Bartel Road,Houston,TX,77054
2306,2354 Hamburg Turnpike,Wayne,NJ,07470
2307,17069 South Dupont Highway,Harrington,DE,19952
2308,112 Town Park Drive,Kennesaw,GA,30144
2309,8492 Manatee Bay Drive,Tampa,FL,33635
2310,SWC Thousand Oaks & Westlake Blvds.,Westlake Village,CA,91362
2311,10125 Rt 16 & Martin Road,Machias,NY,14042
2312,4320 26th Street West,Bradenton,FL,34205
2313,14091 East Lliff Avenue,Aurora,CO,80014
2314,7 Dorchester Drive,Pittsburgh,PA,15241
2315,2203 East Oakland Avenue,Bloomington,IL,61701
2316,12901 Jefferson Parkway,Baton Rouge,LA,70816
2317,3845 Bayshore Road,Lower Township,NJ,08204
2318,8 and 11 Turtle Creek Lane,East Hartford,CT,06108
2319,1991 Main Street,Sarasota,FL,34236
2320,5071 & 5073 FM 2673,Canyon Lake,TX,78133
2321,112 & 114 Town Park Drive,Kennesaw,GA,30144
2322,3216 South Glen Ave,Glenwood Springs,CO,81601
2323,2450-2500 Westfield Drive,Elgin,IL,60124
2324,22351-22461 Antonio Parkway,Rancho Santa Margarita,CA,92688
2325,1400 Boston Post Road,Milford,CT,06460
2326,901 Shaker Road,Longmeadow,MA,01106
2327,9990 Front Beach Road,Panama City Beach,FL,32407
2328,7040 Jonesboro Road,Morrow,GA,30260
2329,10050 West Bell Road,Sun City,AZ,85351
2330,2311 Lake Park Drive,Albany,GA,31707
2331,32-184 West Parrish Lane,Centerville,UT,84014
2332,2 Fountain Plaza,Buffalo,NY,14202
2333,2715 Fern Valley Road,Louisville,KY,40213
2334,600 Washington Avenue,Towson,MD,21204
2335,8787 Reeder Road,Overland Park,KS,66214
2336,630 South Rancho Drive,Las Vegas,NV,89106
2337,"401-444 Liberty Avenue, 603 Stanwix Street, 420 Fort Duquesne Boulevard",Pittsburgh,PA,15222
2338,"3136, 3140 and 3146 North Stockton Hill Road",Kingman,AZ,86401
2339,620 East Vienna Ave,Milwaukee,WI,53212
2340,1101 West Main Street,League City,TX,77573
2341,1250 South Moorland Road,Brookfield,WI,53005
2342,1007 Church Street,Evanston,IL,60201
2343,294-306A Harvard Street,Brookline,MA,02146
2344,3737 Murphy Canyon Road,San Diego,CA,92123
2345,1 Sunflower Drive,Bohemia,NY,11716
2346,408 Abner Road,Spartanburg,SC,29301
2347,570 Daniel Webster Highway,Merrimack,NH,03054
2348,1875 N.W. 167th St.,Opa Locka,FL,33056
2349,7711 East Pleasant Valley Road,Independence,OH,44131
2350,400 Bald Hill Road,Warwick,RI,02886
2351,6175 Old National Highway,Atlanta,GA,30349
2352,20741 Bruce B. Downs Blvd,Tampa,FL,33647
2353,18712 North Village Center,Hagerstown,MD,21742
2354,125 Lattimore Road,Rochester,NY,14620
2355,405 West Rudasill Road,Tucson,AZ,85704
2356,1500 Industry Street,Everett,WA,98203
2357,2315-2325 Dean Street,Saint Charles,IL,60175
2358,258-262 Union Ave.,Framingham,MA,01702
2359,282-336 US Highway 6,Dillon,CO,80435
2360,500 Loveridge Circle,Pittsburg,CA,94565
2361,20655 Soledad Canyon Road,Santa Clarita,CA,91351
2362,48 East Broadway,Derry,NH,03038
2363,13575 Midlothian Turnpike,Midlothian,VA,23113
2364,9616-9879 Fremont Pike,Rossford,OH,43460
2365,5601 East Ramon Road,Palm Springs,CA,92264
2366,15715 US Highway 36,Marysville,OH,43040
2367,5169 Harvey Street,Norton Shores,MI,49444
2368,3919 Madison Avenue,Indianapolis,IN,46227
2369,1200 Garden View Road,Encinitas,CA,92024
2370,8 Sound Shore Drive,Greenwich,CT,06830
2371,23077 Greenfield Road,Southfield,MI,48075
2372,12750 Alameda Parkway,Lakewood,CO,80228
2373,99551 Overseas Highway,Key Largo,FL,33037
2374,4848 East Roosevelt Street,Phoenix,AZ,85008
2375,55 Railroad Avenue,Greenwich,CT,06830
2376,2321 Lincoln Highway East (US Highway 30),Lancaster,PA,17602
2377,9220 Lake Otis Parkway,Anchorage,AK,99507
2378,4480 Willow Road,Pleasanton,CA,94566
2379,21940 West 8 Mile Road,Southfield,MI,48075
2380,14339 Whittier Boulevard,Whittier,CA,90605
2381,7293 & 7302 West Peoria Avenue,Peoria,AZ,85345
2382,3475-3517 Edison Way,Menlo Park,CA,94025
2383,4225 South Jackson Street,San Angelo,TX,76903
2384,3910 South Street,Lincoln,NE,68506
2385,"12730, 12750, 12760, 12770 and 12780 High Bluff Drive",San Diego,CA,92130
2386,10411 Ulmerton Road,Largo,FL,33771
2387,18601-18653 Yorba Linda Boulevard,Yorba Linda,CA,92886
2388,1800 Northeast Lincoln Road,Poulsbo,WA,98370
2389,10 Bleecker Street,New York,NY,10012
2390,1200 North Lincoln Street,Denver,CO,80203
2391,300 S. Highland Springs Road,Banning,CA,92220
2392,3521 Park Plaza Road,Paducah,KY,42001
2393,228 Bullsboro Drive,Newnan,GA,30263
2394,4251 West Bell Road,Phoenix,AZ,85053
2395,3842-3912 Oakford Avenue and 5009 Norwood Avenue,Baltimore,MD,
2396,3100 N. Main Street,Anderson,SC,29621
2397,4343 Warm Springs Road,Columbus,GA,31904
2398,4380 Alvarado Canyon Road,San Diego,CA,92120
2399,700 E. Redlands Blvd.,Redlands,CA,92374
2400,436 North Roxbury Drive,Beverly Hills,CA,90210
2401,319 Oak Run Drive,Raleigh,NC,27606
2402,2217-2741 Vista Way,Oceanside,CA,92054
2403,786 FM 1187,Crowley,TX,76036
2404,365 Huntley Parkway,Pelham,AL,35124
2405,7986 Stage Road,Bartlett,TN,38133
2406,5599 San Felipe Street,Houston,TX,77056
2407,828 Fifth Avenue,New York,NY,10065
2408,1300 Bristol Street North,Newport Beach,CA,92660
2409,10707 Clay Road,Houston,TX,77041
2410,1730 South State College Boulevard,Anaheim,CA,92806
2411,2705 Navajo Boulevard,Holbrook,AZ,86025
2412,8099 Moores Lane,Franklin,TN,37027
2413,6050 Peachtree Parkway,Norcross,GA,30092
2414,12650 Ingenuity Drive,Orlando,FL,32826
2415,1706 Spring Road,Carlisle,PA,17013
2416,5304 Alpha Road,Dallas,TX,75240
2417,7496 University Boulevard,Winter Park,FL,32792
2418,6337 Duck Creek Drive,Garland,TX,75043
2419,3010 and 3020 Woodcreek Drive,Downers Grove,IL,60515
2420,1864 FM 359 BS,Richmond,TX,77469
2421,11133 Spring-Cypress Road,Tomball,TX,77377
2422,1 Cross Island Plaza,Rosedale,NY,11422
2423,8810 Cuyamaca Street,Santee,CA,92071
2424,"10, 50-58 and 90 State House Square",Hartford,CT,06103
2425,100 East Sybelia Avenue,Maitland,FL,32751
2426,145 West 58th Street,New York,NY,10019
2427,9401 De Soto Avenue,Chatsworth,CA,91311
2428,3199-3291 E. Warm Springs Road,Las Vegas,NV,89120
2429,5161 Franz Road,Katy,TX,77493
2430,113 Henry Street,New York,NY,10002
2431,8102 South Lemont Road,Woodridge,IL,60517
2432,6570 West Flamingo Road,Las Vegas,NV,89103
2433,2421 Cranberry Highway,Wareham,MA,02571
2434,245 Maple Street,Manchester,NH,03103
2435,3000 Business Park Circle,Goodlettsville,TN,37072
2436,1876 Parkview Boulevard,Pittsburgh,PA,15217
2437,1700 Chemin Metairie Parkway & 107 Centre Sarcelle Boulevard,Youngsville,LA,70592
2438,17100 Rolling Creek Dr,Houston,TX,77090
2439,8550 Bryn Mawr Avenue,Chicago,IL,60631
2440,3430 State Street,Saginaw,MI,48602
2441,6870 West Atlantic Blvd,Margate,FL,33063
2442,136-144 Summit Avenue,Jersey City,NJ,07304
2443,15050 Fairfield Village Drive,Cypress,TX,77433
2444,1455 & 1515 E. Tropicana Avenue,Las Vegas,NV,89119
2445,119 International Drive and 15 & 19 Rye Street,Portsmouth,NH,03801
2446,605 North Hwy. 190 East,Covington,LA,70433
2447,15641 and 15651 Sheridan Street,Davie,FL,33331
2448,38047 20th Street East,Palmdale,CA,93550
2449,350 Sentry Parkway,Blue Bell,PA,19422
2450,2834 Washington Road,Augusta,GA,30904
2451,2015 St. Paul Avenue,Bronx,NY,10461
2452,2200 Airport Freeway,Bedford,TX,76022
2453,605 First Avenue,Conway,AR,72032
2454,363 East 197th Street,Bronx,NY,10458
2455,4530 South Maryland Parkway,Las Vegas,NV,89119
2456,405 East Locust Street,Davenport,IA,52803
2457,3455 South Durango Drive,Las Vegas,NV,89117
2458,17649 Gunn Highway,Odessa,FL,33556
2459,"4938, 4954 and 4902 Staples Street South",Corpus Christi,TX,78412
2460,1051 US Highway 127 South,Frankfort,KY,40601
2461,1101 Twin Creek Drive,Killeen,TX,76543
2462,3200 S.E. Loop 820,Forest Hills,TX,76140
2463,12211 W. Washington Blvd.,Culver City,CA,90066
2464,17070 Walnut Village Parkway,Fontana,CA,92336
2465,741 Woodruff Road,Greenville,SC,29607
2466,1 Rose Drive,Jackson,NJ,08527
2467,4200 Portsmouth Boulevard,Chesapeake,VA,23321
2468,1670 E. Cheyenne Mountain Boulevard,Colorado Springs,CO,80906
2469,15477 Ventura Boulevard,Sherman Oaks,CA,91403
2470,2008 Jenkins Road,Pasadena,TX,77506
2471,595 Merritt Avenue,Oakland,CA,94610
2472,4425-4545 East McKellips Road,Mesa,AZ,85215
2473,5000 Brittonfield Parkway,East Syracuse,NY,13057
2474,1651 Knollwood Drive,Mobile,AL,36609
2475,60-126 Skokie Boulevard,Wilmette,IL,60091
2476,123 Jasper Street & 170 Diana Street,Encinitas,CA,92024
2477,720-840 West Army Trail Road,Carol Stream,IL,60188
2478,10515 Sierra Avenue,Fontana,CA,92337
2479,SEC Kennesaw Due West Road & Stilesboro Road,Kennesaw,GA,30152
2480,12100-12344 Bermuda Crossroads Lane,Chester,VA,23831
2481,6301-6685 West 119th Street,Overland Park,KS,66209
2482,11504 Hughes Road,Houston,TX,77089
2483,2747 LA Hwy 28 East,Pineville,LA,71360
2484,3085 and 3095 Loyalty Circle,Columbus,OH,43219
2485,North Side of Old Country Road (Route 58),Riverhead,NY,11901
2486,439-461 Lancaster Drive Northeast,Salem,OR,97301
2487,550 Airport Road,Fletcher,NC,28732
2488,3030 South Cicero Avenue,Cicero,IL,60804
2489,5807 West 20th Street,Greeley,CO,80634
2490,10350 Park Meadows Drive,Littleton,CO,80124
2491,4830 Carlisle Pike,Mechanicsburg,PA,17050
2492,25600 Seeley Road,Novi,MI,48375
2493,101 Vallejo Street,San Francisco,CA,94111
2494,320 West 89th Street,New York,NY,10024
2495,4551 Center Western Boulevard,Fort Worth,TX,76137
2496,7848 East County Line Road,Littleton,CO,80124
2497,1911 Southeast Washington Street,Idabel,OK,74745
2498,3501 Severn Avenue,Metairie,LA,70002
2499,3700 Thomas Road,Santa Clara,CA,95054
2500,26559-26587 Evergreen Road,Southfield,MI,48076
2501,13400 Blanco Road,San Antonio,TX,78216
2502,111 Kefauver Lane,Madisonville,TN,37354
2503,1010 and 1110 Hillsboro Road,Franklin,TN,37064
2504,5600 North Freeway,Houston,TX,77076
2505,100 Preserve Loop,Ardmore,OK,73401
2506,601-691 North Euclid Street,Anaheim,CA,92801
